,product_code,product_name,brand,store,url,image_url,price,original_price,product_description,categories,specs,model_text
0,Ultra 7 265K,"intel core ultra 7 265k – 20-core processor (box, lga1851, up to 5.5ghz)",intel,Compu Jordan,https://compujordan.com/intel-core-ultra-7-265k-20-core-processor-box-lga1851-up-to-5-5ghz,https://compujordan.com/image/cache/catalog/products/rampage/CPUs/Intel/Intel Core Ultra 7 265K/Intel Core Ultra 7 265K-1200x1200.jpg,309.0,309.0,"The Intel Core Ultra 7 265K is a next-generation high-performance desktop processor designed for gamers, creators, and power users. Built on Intel’s latest architecture for the LGA1851 socket, this CPU combines 20 cores (8 Performance + 12 Efficient) and 28 threads to deliver blazing multi-tasking and outstanding gaming performance.
With turbo boost speeds of up to 5.5GHz, the Core Ultra 7 265K ensures smooth frame rates, ultra-fast responsiveness, and seamless workflow for demanding applications such as 3D rendering, video editing, and AAA gaming.
Packed in its original Box version, it provides reliability and compatibility with Intel 800-series motherboards (Z890, B860, H810) supporting DDR5 and PCIe 5.0 technologies. Whether you’re building a high-end gaming rig or a professional workstation, the Intel Core Ultra 7 265K guarantees performance, efficiency, and future-proof computing.
✅ 20 Cores (8P + 12E) / 28 Threads – designed for multi-tasking and heavy workloads
✅ Base Clock + Turbo Boost up to 5.5GHz for next-gen performance
✅ Supports DDR5 memory for faster data bandwidth
✅ PCIe 5.0 & PCIe 4.0 support for cutting-edge GPUs and SSDs
✅ Compatible with LGA1851 socket & Intel 800-series chipsets
✅ Ideal for gaming, streaming, and content creation
✅ Box version – includes official Intel packaging for safe installation","gaming, gaming components, computer hardware, components",,"intel core ultra 7 265k – 20-core processor (box, lga1851, up to 5.5ghz)  gaming, gaming components, computer hardware, components"
1,Z890 GAMING X WIFI7,"gigabyte z890 gaming x wi-fi 7 & bluetooth ddr5 atx motherboard – lga1851, intel core ultra (series 2)",gigabyte,Compu Jordan,https://compujordan.com/gigabyte-z890-gaming-x-wi-fi-7-bluetooth-ddr5-atx-motherboard-lga1851-intel-core-ultra-series-2,https://compujordan.com/image/cache/catalog/products/rampage/motherboards/Gigabyte/GIGABYTE Z890 Gaming X/GIGABYTE Z890 Gaming X-1200x1200.jpg,219.0,219.0,"The GIGABYTE Z890 Gaming X Wi-Fi 7 ATX Motherboard is engineered to deliver cutting-edge performance for the latest Intel Core Ultra (Series 2) processors on the LGA1851 socket. Built with next-gen DDR5 memory support and PCIe 5.0 architecture, it ensures unparalleled speed, responsiveness, and future-proof reliability for gaming enthusiasts and professionals.
Equipped with Wi-Fi 7 & Bluetooth 5.4 wireless connectivity, it provides ultra-fast networking for lag-free online gameplay, streaming, and productivity. The board also integrates advanced thermal design, high-quality capacitors, and Smart Fan 6 technology to maintain stable performance under heavy workloads.
With multiple M.2 Gen5/Gen4 slots, USB 3.2 Gen2x2 Type-C, and high-definition audio, the Z890 Gaming X offers an elite platform for building high-end gaming rigs or powerful workstations. Combined with GIGABYTE’s renowned durability and BIOS features, this motherboard is designed to unleash the full potential of Intel’s newest CPUs.
✅ Supports Intel Core Ultra (Series 2) processors – LGA1851 socket
✅ DDR5 memory supports up to high frequencies for extreme performance
✅ PCIe 5.0 x16 slot for next-gen graphics cards
✅ Wi-Fi 7 & Bluetooth 5.4 for ultra-fast wireless connectivity
✅ Multiple M.2 slots (Gen5/Gen4) with heatsinks for lightning-fast storage
✅ USB 3.2 Gen2x2 Type-C and high-speed I/O ports
✅ Advanced thermal design with VRM heatsinks & Smart Fan 6 technology
✅ High-definition audio for immersive sound quality
✅ ATX form factor for full-size PC builds","gaming, gaming components, computer hardware, components",,"gigabyte z890 gaming x wi-fi 7 & bluetooth ddr5 atx motherboard – lga1851, intel core ultra (series 2)  gaming, gaming components, computer hardware, components"
2,i7-14700KF,"intel core i7-14700kf – 14th gen unlocked cpu processor, 20 cores (8p+12e), 28 threads, up to 5.6ghz, lga1700 (tray)",intel,Compu Jordan,https://compujordan.com/intel-core-i7-14700kf-14th-gen-unlocked-cpu-processor-20-cores-8p-12e-28-threads-up-to-5-6ghz-lga1700-tray,https://compujordan.com/image/cache/catalog/products/rampage/CPUs/Intel/Intel Core i7-14700KF/Intel Core i7-14700KF-1200x1200.jpg,299.0,299.0,"The Intel Core i7-14700KF is a 14th Gen Raptor Lake Refresh processor designed for gamers, creators, and power users who need top-tier performance. Featuring 20 cores (8 Performance + 12 Efficient) and 28 threads, it strikes the perfect balance between multi-core productivity and high single-core performance.
With boost clock speeds of up to 5.6GHz, the i7-14700KF ensures smooth performance in modern AAA games, demanding applications, and creative workloads like video editing, 3D rendering, and AI-driven tasks.
As a KF-series CPU, it comes unlocked for overclocking and does not include integrated graphics, making it ideal for builds with dedicated GPUs. Supporting DDR5 up to 5600 MT/s and DDR4 up to 3200 MT/s, along with PCIe 5.0 and PCIe 4.0 compatibility, it is future-ready for the latest GPUs and NVMe SSDs.
Delivered as a Tray version, it’s perfectly suited for system integrators and custom PC builders who need flexibility.
Generation: Intel 14th Gen Raptor Lake Refresh
Cores/Threads: 20 cores (8P + 12E) / 28 threads
Clock Speed: Base + Turbo up to 5.6GHz with Intel® Turbo Boost Max 3.0
Socket: LGA1700
Unlocked: Yes – overclocking enabled (KF series)
Integrated Graphics: None (dedicated GPU required)
Memory Support: DDR5-5600 / DDR4-3200, Dual Channel
PCIe Support: PCIe 5.0 & PCIe 4.0
TDP: 125W (Base) – higher under turbo load","gaming, gaming components, computer hardware, components",,"intel core i7-14700kf – 14th gen unlocked cpu processor, 20 cores (8p+12e), 28 threads, up to 5.6ghz, lga1700 (tray)  gaming, gaming components, computer hardware, components"
3,Core Ultra 9 285K,"intel core ultra 9 285k (series 2) – 24-core, 24-thread processor, up to 5.70ghz, lga1851 (tray)",intel,Compu Jordan,https://compujordan.com/intel-core-ultra-9-285k-series-2-24-core-24-thread-processor-up-to-5-70ghz-lga1851-tray,https://compujordan.com/image/cache/catalog/products/rampage/CPUs/Intel/Intel Core Ultra 9 285K/Intel Core Ultra 9 285K-1200x1200.jpg,569.0,569.0,"The Intel Core Ultra 9 285K (Series 2) is one of Intel’s most powerful processors, built for enthusiasts, gamers, and creators who demand unmatched performance, AI acceleration, and next-gen efficiency. Designed for the new LGA1851 socket, this CPU offers 24 cores (8 Performance + 16 Efficient) and 24 threads, making it ideal for heavy multitasking, gaming, rendering, and AI-driven workloads.
With a boost clock of up to 5.70GHz, it delivers exceptional single-core and multi-core performance. The processor integrates Intel AI Boost (NPU), enabling advanced AI acceleration directly on the chip for next-gen applications.
The 285K is unlocked for overclocking, giving enthusiasts full control to push performance further with DDR5 memory support and PCIe 5.0 for the latest GPUs and NVMe SSDs. Offered in a Tray version, it’s suited for system integrators, custom PC builders, and professionals seeking flexibility.
Model: Intel Core Ultra 9 285K (Series 2)
Socket: LGA1851 – supports next-gen motherboards
Cores/Threads: 24 cores (8P + 16E) / 24 threads
Base/Boost Clock: Up to 5.70GHz boost
Architecture: Intel 14th Gen Ultra – AI-ready architecture
AI Boost: Integrated NPU for AI acceleration
Memory Support: DDR5 up to 6400 MT/s, dual channel
PCIe: PCIe 5.0 & PCIe 4.0 support
Unlocked Multiplier: Overclocking enabled (K-series)
TDP: 125W base / higher under turbo load","gaming, gaming components, computer hardware, components",,"intel core ultra 9 285k (series 2) – 24-core, 24-thread processor, up to 5.70ghz, lga1851 (tray)  gaming, gaming components, computer hardware, components"
4,RTX 5070 Ti 16G SHADOW 3X OC,msi geforce rtx 5070 ti 16g shadow 3x oc – 16gb gddr7 graphics card,msi,Compu Jordan,https://compujordan.com/msi-geforce-rtx-5070-ti-16g-shadow-3x-oc-16gb-gddr7-graphics-card,https://compujordan.com/image/cache/catalog/products/rampage/GRAPHIC CARD/MSI/MSI GeForce RTX 5070 Ti/MSI Gaming RTX 5070 TI 16G Shadow 3X-1200x1200.jpg,789.0,789.0,"The MSI GeForce RTX 5070 Ti 16G SHADOW 3X OC is a true powerhouse built on NVIDIA’s next-gen Blackwell architecture with cutting-edge GDDR7 memory—delivering blazing-fast bandwidth for superior performance.
Outfitted with 8960 CUDA cores and a factory-overclocked boost clock of up to 2497 MHz, this GPU offers unmatched performance in both gaming and creative workflows. The triple-fan cooling system featuring TORX Fan 5.0 ensures exceptional thermal efficiency with quiet operation MSI+1.
Equipped with 16GB GDDR7 memory (28 Gbps, 256-bit), it supports demanding 4K gaming, real-time ray tracing, and AI-enhanced workflows. The card also features PCIe 5.0, HDMI 2.1b, 3× DisplayPort 2.1b, and supports DLSS 4, DirectX 12 Ultimate, and NVIDIA G-SYNC
With a recommended 750W PSU and a single 16-pin power connector, this GPU delivers top-tier performance with compatibility and efficiency in mind
GPU Architecture: NVIDIA Blackwell
CUDA Cores: 8960
Boost Clock: Up to 2497 MHz (via MSI Center)
Memory: 16GB GDDR7, 28 Gbps, 256-bit bus
Cooling: Triple TORX Fan 5.0 with WINDFORCE design
Interface: PCIe 5.0
Outputs: 1× HDMI 2.1b, 3× DisplayPort 2.1b
Features: Ray Tracing, DLSS 4, NVIDIA Reflex, VRR support
Power: 300W TGP; requires 750W PSU & 16-pin connector
Dimensions: 303 mm × 121 mm × 49 mm","gaming, gaming components, computer hardware, components",,"msi geforce rtx 5070 ti 16g shadow 3x oc – 16gb gddr7 graphics card  gaming, gaming components, computer hardware, components"
5,4711099472604,aerocool mirage gold 850w argb – fully modular 80 plus gold power supply with infinity mirror design,aerocool,Compu Jordan,https://compujordan.com/aerocool-mirage-gold-850w-argb-fully-modular-80-plus-gold-power-supply-with-infinity-mirror-design,https://compujordan.com/image/cache/catalog/products/rampage/power supply/AeroCool/AeroCool Mirage Gold 850W ARGB/AeroCool Mirage Gold 850W ARGB-1200x1200.jpg,85.0,85.0,"The AeroCool Mirage Gold 850W (ARGB) is a high-performance fully modular power supply engineered for gaming PCs and professional builds that demand both power and style. With 80 Plus Gold certification, it ensures up to 90%+ efficiency, reducing energy loss and heat while providing stable and reliable performance for modern GPUs and CPUs.
Equipped with an ARGB infinity mirror design, it adds a stunning lighting effect to your build while maintaining elegance and functionality. The fully modular design reduces cable clutter and improves airflow, giving you a clean and efficient setup.
The 850W capacity is ideal for powering high-end systems with multiple GPUs or next-gen graphics cards. Built with premium components and multiple safety protections (OVP, OPP, UVP, SCP), it guarantees durability and peace of mind under heavy workloads.
Wattage: 850W continuous output – supports high-end gaming & workstation PCs
Certification: 80 Plus Gold – up to 90%+ efficiency
Design: Stylish ARGB infinity mirror effect with customizable lighting
Cooling: High-performance silent fan for efficient heat dissipation
Modularity: Fully modular cables for clean builds & optimized airflow
Safety Protections: OVP, UVP, OPP, SCP for long-term reliability
Compatibility: Supports next-gen GPUs & multi-core CPUs
Durability: Premium-grade components with AeroCool reliability","gaming, gaming components, computer hardware, components",,"aerocool mirage gold 850w argb – fully modular 80 plus gold power supply with infinity mirror design  gaming, gaming components, computer hardware, components"
6,CG530 4F WH,"deepcool cg530 4f panoramic atx mid-tower case – white, tempered glass, 4x argb fans",deepcool,Compu Jordan,https://compujordan.com/deepcool-cg530-4f-panoramic-atx-mid-tower-case-white-tempered-glass-4x-argb-fans,https://compujordan.com/image/cache/catalog/products/rampage/cases/Deepcool/DeepCool CG530/DeepCool CG530 4F Panoramic ATX Mid-Tower Case ( White )-1200x1200.png,69.0,69.0,"The DeepCool CG530 4F Panoramic ATX Mid-Tower Case (White) combines premium aesthetics, airflow, and expandability for gaming and professional PC builds. With its panoramic tempered glass side panel, it provides a crystal-clear showcase of your components and RGB lighting setup.
It comes equipped with 4x pre-installed ARGB fans, ensuring excellent airflow and customizable lighting effects, fully compatible with motherboard sync software (ASUS Aura Sync, MSI Mystic Light, GIGABYTE RGB Fusion, ASRock Polychrome). Its high-airflow mesh front panel and dust filter design keep your system both cool and clean.
Supporting ATX, Micro-ATX, and Mini-ITX motherboards, full-sized GPUs, multiple SSD/HDD drives, and large liquid cooling radiators, the CG530 4F offers flexibility for high-performance rigs. The elegant white finish adds a premium modern look that makes it stand out in any setup.
Form Factor: ATX Mid-Tower (ATX, Micro-ATX, Mini-ITX)
Cooling: Pre-installed 4x ARGB fans for optimal airflow
Design: White finish with high-airflow mesh front panel
Tempered Glass: Panoramic side panel for a full system showcase
Storage Support: Multiple SSD/HDD mounting options
Expansion: Supports long GPUs & large liquid cooling radiators
RGB Lighting: Addressable ARGB fans with motherboard sync support","gaming, gaming components, computer hardware, components",,"deepcool cg530 4f panoramic atx mid-tower case – white, tempered glass, 4x argb fans  gaming, gaming components, computer hardware, components"
7,CG530 4F,"deepcool cg530 4f panoramic atx mid-tower case – black, tempered glass, 4x argb fans",deepcool,Compu Jordan,https://compujordan.com/deepcool-cg530-4f-panoramic-atx-mid-tower-case-black-tempered-glass-4x-argb-fans,https://compujordan.com/image/cache/catalog/products/rampage/cases/Deepcool/DeepCool CG530/DeepCool CG530 4F Panoramic ATX Mid-Tower Case ( BLACK )-1200x1200.png,69.0,69.0,"The DeepCool CG530 4F Panoramic ATX Mid-Tower Case (Black) is designed for gamers and PC enthusiasts who demand style, airflow, and expandability. With its panoramic tempered glass side panel, it provides a full showcase of your components and RGB lighting for a premium build aesthetic.
It comes pre-installed with 4x ARGB fans for exceptional airflow and brilliant lighting effects, fully customizable with popular motherboard sync software (ASUS Aura Sync, MSI Mystic Light, GIGABYTE RGB Fusion, ASRock Polychrome). The spacious ATX mid-tower layout supports ATX, Micro-ATX, and Mini-ITX motherboards, full-size GPUs, multiple SSD/HDD drives, and large liquid cooling radiators.
The case is engineered with high airflow front mesh design, dust filters, and cable management channels for clean, efficient builds. Its durability and expandability make it ideal for high-performance gaming rigs or workstation PCs.
Form Factor: ATX Mid-Tower (supports ATX, Micro-ATX, Mini-ITX)
Tempered Glass: Panoramic side panel for full system showcase
Cooling: Pre-installed with 4x ARGB fans for optimized airflow
Front Panel: High-airflow mesh design with dust protection
Storage: Multiple SSD/HDD mounting options
Expansion: Supports full-length GPUs & liquid cooling radiators
RGB Lighting: Addressable ARGB with motherboard sync support","gaming, gaming components, computer hardware, components",,"deepcool cg530 4f panoramic atx mid-tower case – black, tempered glass, 4x argb fans  gaming, gaming components, computer hardware, components"
8,P500C-G-WT-v1,"aerocool p500c (white) argb atx mid tower gaming case – panoramic view, dual chamber, tempered glass, 4x argb mirage fans",aerocool,Compu Jordan,https://compujordan.com/aerocool-p500c-white-argb-atx-mid-tower-gaming-case-panoramic-view-dual-chamber-tempered-glass-4x-argb-mirage-fans,https://compujordan.com/image/cache/catalog/products/rampage/cases/AeroCool/COOAeroCool P500C ( White ) ARGB/P500C-wh-infographics-1-1200x1200.jpg,59.0,59.0,"The AeroCool P500C (White) ARGB is a stylish and high-performance ATX mid-tower gaming case designed for gamers who demand airflow, elegance, and functionality. Its dual-chamber layout ensures superior cooling and cable management, while the panoramic tempered glass side panel showcases your build in stunning clarity.
It comes pre-installed with 4x ARGB Mirage Infinity Mirror fans (3x 120mm side-mounted reverse-blade + 1x 120mm rear), providing both excellent airflow and brilliant RGB lighting effects. The ARGB system is compatible with major motherboard sync software, allowing easy customization of lighting setups.
Supporting ATX, E-ATX, Micro-ATX, and Mini-ITX motherboards, long GPUs, multiple SSD/HDD storage devices, and liquid cooling radiators, the P500C is perfect for high-performance gaming and workstation builds. With USB Type-C connectivity and modern airflow optimization, it balances aesthetics with cutting-edge functionality.
Form Factor: ATX Mid Tower Gaming Case
Cooling: 4x ARGB Mirage Infinity Fans included (3x 120mm side reverse-blade + 1x 120mm rear)
Design: Dual chamber structure for airflow & cable management
Tempered Glass: Panoramic side panel for a premium showcase
Lighting: Addressable RGB with motherboard sync support
Motherboard Support: ATX, E-ATX, Micro-ATX, Mini-ITX
Storage: Multiple HDD/SSD mounting slots
Connectivity: Includes USB Type-C and multiple high-speed USB ports
Liquid Cooling Support: Radiator-ready for advanced cooling builds
Finish: Elegant White design with ARGB accents","gaming, gaming components, computer hardware, components",,"aerocool p500c (white) argb atx mid tower gaming case – panoramic view, dual chamber, tempered glass, 4x argb mirage fans  gaming, gaming components, computer hardware, components"
9,Frozen Infinity 360 BLACK,thermalright frozen infinity 360 black argb – high performance cpu liquid cooler with 3x tl-m12 fans,thermalright,Compu Jordan,https://compujordan.com/thermalright-frozen-infinity-360-black-argb-high-performance-cpu-liquid-cooler-with-3x-tl-m12-fans,https://compujordan.com/image/cache/catalog/products/rampage/Cases Cooling Fans/Thermalright/Thermalright/Thermalright Frozen Infinity 360-1200x1200.jpg,75.0,75.0,"The Thermalright Frozen Infinity 360 Black ARGB is a high-performance 360mm AIO liquid CPU cooler, designed to deliver superior cooling efficiency for modern high-end processors. Featuring a triple 120mm TL-M12 ARGB fan setup with optimized airflow and low-noise operation, it provides excellent thermal performance for gaming PCs, overclocked systems, and workstation builds.
The ARGB lighting system is fully customizable via popular motherboard sync software (ASUS Aura Sync, MSI Mystic Light, GIGABYTE RGB Fusion, ASRock Polychrome), ensuring a dynamic and stylish look inside your case. Its all-black design with premium tubing and a reinforced pump guarantees durability while enhancing aesthetics.
Compatible with a wide range of sockets including Intel LGA 1700/1200/115X/2066/2011 and AMD AM5/AM4, the Frozen Infinity 360 is engineered for maximum compatibility. With its combination of strong cooling, quiet fans, and brilliant ARGB lighting, it’s an ideal solution for PC enthusiasts who demand both performance and style.
Radiator Size: 360mm high-performance AIO liquid cooler
Fans: 3x TL-M12 120mm ARGB fans – optimized airflow & low noise
ARGB Lighting: Fully customizable, sync with major motherboard software
Design: Premium black finish with durable tubing
Socket Support:
Intel: LGA 1700 / 1200 / 115X / 2066 / 2011
AMD: AM5 / AM4
Performance: Designed for high-end CPUs and overclocking
Noise Control: Efficient pump & fan design for quiet operation
Durability: Reinforced pump and high-quality components","gaming, gaming components, computer hardware, components",,"thermalright frozen infinity 360 black argb – high performance cpu liquid cooler with 3x tl-m12 fans  gaming, gaming components, computer hardware, components"
