product_code,product_name,brand,store,url,image_url,price,original_price,currency,in_stock,product_description,categories,specs
TXZ-W09 Gray,"Huawei MatePad 11.5 (2025) 11.5"" Android WIFI Tablet (128GB Storage / 8GB Memory) w/ 2.4k IPS 120 Hz w/ HUGE Battery + Free Huawei M Pencil Lite + Cover + Mouse  , Space Gray",Huawei,City Center,https://citycenter.jo/huawei-matepad-11-5-2025-11-5-android-wifi-tablet-128gb-storage-8gb-memory-w-2-4k-ips-120-hz-w-huge-battery-free-huawei-m-pencil-lite-cover-mouse-space-gray,https://image.citycenter.jo/cache/catalog/002026/42026/h17720261-1200x1200.jpg,259.0,,JOD,True,"Its 2.5K IPS display delivers a sharp 2456 × 1600 resolution with an adaptive refresh rate of up to 120Hz. HarmonyOS 4.3, a large 10,100mAh battery, up to 40W wired charging, quad-speaker audio, Wi-Fi 6 connectivity, and a lightweight all-metal unibody make it suitable for study, portable work, reading, streaming, and communication.
The HUAWEI MatePad 11.5 2025 combines an 11.5-inch 2.5K IPS display with an adaptive refresh rate of up to 120Hz.
Its 10,100mAh battery supports extended study, entertainment, reading, and portable productivity sessions.
Four speakers with HUAWEI Histen 9.0 provide an immersive audio experience for films, music, online classes, and video calls.
HarmonyOS 4.3 supports multitasking, file sharing, digital notes, and compatible keyboard or stylus workflows.
The slim all-metal body measures only 6.1mm thick and weighs approximately 515g.
The 2456 × 1600 IPS display provides detailed visuals for reading, videos, documents, presentations, creative work, and everyday browsing.
The display supports smart 60Hz, 90Hz, and 120Hz refresh-rate modes for smooth motion, scrolling, and responsive interaction.
The large built-in battery supports extended entertainment, learning, reading, and mobile productivity.
The tablet supports wired charging at up to 40W when used with a compatible HUAWEI SuperCharge charger and cable.
Four speakers with HUAWEI Histen 9.0 deliver enhanced audio for films, music, games, online learning, and video communication.
The all-metal unibody measures 6.1mm thick and weighs approximately 515g for convenient portable use.
The HUAWEI MatePad 11.5 2025 is designed as an all-round tablet for portable productivity and entertainment. Its 3:2 display ratio provides additional vertical working space for documents, websites, notes, spreadsheets, and presentations.
The adaptive display supports 60Hz, 90Hz, or 120Hz operation depending on the application and displayed content. This provides smooth movement and responsive interaction while balancing display performance and power use.
HarmonyOS 4.3 supports compatible multitasking features such as Floating Window, App Multiplier, and SuperHub. HUAWEI Notes provides tools for organising notes, handwriting, memos, and compatible stylus input.
The tablet also features an upgraded cooling system, four speakers, and HUAWEI Histen 9.0 audio processing for a balanced experience across entertainment, learning, communication, and everyday productivity.
The HUAWEI MatePad 11.5 2025 is suitable for students, professionals, families, and entertainment users who need a portable tablet with a large high-resolution display, smooth 120Hz operation, long battery life, quad-speaker audio, modern wireless connectivity, and bundled accessories for note-taking and everyday productivity.","{'Servers', 'Tablet Accessories', 'Gaming Laptop', 'Mini PC', 'Gaming', 'Desktop Computers', 'Home & office', 'Gaming & High Performance', 'Laptops', 'Point Of Sale', 'PC & Laptops'}","{'Model': 'Kirin T82B', 'Type': '10  100 mAh', 'RAM': '8 GB', 'Size': '11.5""', 'Resolution': '2440 x 1600', 'Capacity': '128 GB', 'SD Slot': 'No', 'Color': 'Gray', 'Main': '13 MP', 'Selfie': '8 MP', 'Wi-Fi': 'Yes', 'Bluetooth': '5.2', 'LTE SIM Card': 'No', 'GPU': 'Maleoon 920C', 'Operating System': 'HarmonyOS 4.3', 'Warranty': '1 Year'}"
DUX DUCIS Puff - Pink,DUX DUCIS Puff Series Kids Case for Apple iPad 10 (2022)/11 (2025) – EVA Light Kids Shockproof Cover with Handle & Kickstand & Full Drop Protection – Pink,DUX DUCIS,City Center,https://citycenter.jo/dux-ducis-puff-series-kids-case-for-apple-ipad-10-2022-11-2025-eva-light-kids-shockproof-cover-with-handle-kickstand-full-drop-protection-pink,https://image.citycenter.jo/cache/catalog/002026/72026/DUX DUCIS Puff - Pink (1)-1200x1200.jpg,15.0,,JOD,True,Unknown,"{'Servers', 'Tablet Accessories', 'Gaming Laptop', 'Mini PC', 'Gaming', 'Desktop Computers', 'Home & office', 'Gaming & High Performance', 'Laptops', 'Point Of Sale', 'PC & Laptops'}","{'Name': 'nan', 'Company Name': 'nan', 'Email': 'nan', 'Phone': 'nan', 'nan': 'nan'}"
DUX DUCIS Puff - Blue,DUX DUCIS Puff Series Kids Case for Apple iPad 10 (2022)/11 (2025) – EVA Light Kids Shockproof Cover with Handle & Kickstand & Full Drop Protection – Blue,DUX DUCIS,City Center,https://citycenter.jo/dux-ducis-puff-series-kids-case-for-apple-ipad-10-2022-11-2025-eva-light-kids-shockproof-cover-with-handle-kickstand-full-drop-protection-blue,https://image.citycenter.jo/cache/catalog/002026/72026/DUX DUCIS Puff - Blue (1)-1200x1200.jpg,15.0,,JOD,True,Unknown,"{'Servers', 'Tablet Accessories', 'Gaming Laptop', 'Mini PC', 'Gaming', 'Desktop Computers', 'Home & office', 'Gaming & High Performance', 'Laptops', 'Point Of Sale', 'PC & Laptops'}","{'Name': 'nan', 'Company Name': 'nan', 'Email': 'nan', 'Phone': 'nan', 'nan': 'nan'}"
21YU000GEQ,"Lenovo ThinkPad T14s Gen 7 (2026) 14"" Thin & light Copilot+ Business Laptop | Intel Core Ultra 7 355 | 32GB LPDDR5X | 1TB PCIe Gen4 SSD | Intel Graphics | Windows 11 Pro | 21YU000GEQ",Lenovo,City Center,https://citycenter.jo/lenovo-thinkpad-t14s-gen-7-2026-14-thin-light-copilot-business-laptop-intel-core-ultra-7-355-32gb-lpddr5x-1tb-pcie-gen4-ssd-intel-graphics-windows-11-pro-21yu000geq,https://image.citycenter.jo/cache/catalog/002026/42026/T14720268-1200x1200.png,2099.0,,JOD,True,"Its 14-inch WUXGA IPS anti-glare display, Wi-Fi 7 connectivity, three Thunderbolt 4 ports, 5MP infrared camera, backlit Arabic keyboard, and durable carbon-fibre hybrid and aluminium construction make it suitable for modern hybrid work environments.
The Lenovo ThinkPad T14s Gen 7 21YU000GEQ is a Copilot+ business laptop with up to 49 TOPS of NPU performance.
It features an Intel Core Ultra 7 355 processor, 32GB soldered LPDDR5X memory, and a 1TB PCIe 4.0 NVMe SSD.
The 14-inch WUXGA IPS display provides 400-nit brightness and an anti-glare finish.
Wi-Fi 7, Bluetooth 5.4, three Thunderbolt 4 ports, HDMI 2.1, and USB-A support flexible business connectivity.
A 5MP infrared camera, fingerprint reader, TPM 2.0, and ThinkShield features support secure professional use.
The integrated NPU delivers up to 49 TOPS for supported AI-enhanced Windows applications and productivity workflows.
An 8-core processor with a maximum turbo frequency of up to 4.7GHz supports demanding business tasks and multitasking.
Dual-channel soldered memory provides responsive performance for productivity, collaboration, and professional applications.
The 1920 × 1200 anti-glare display offers 400-nit brightness, a 60Hz refresh rate, and an 88% screen-to-body ratio.
Three Thunderbolt 4 ports, HDMI 2.1, USB-A, Wi-Fi 7, and Bluetooth 5.4 support modern desks and mobile work setups.
Discrete TPM 2.0, fingerprint authentication, an infrared camera, a privacy shutter, and a Kensington Nano Security Slot protect business data and access.
The Intel Core Ultra 7 355 combines four performance cores and four low-power efficient cores in an 8-core, 8-thread design. With a maximum turbo frequency of up to 4.7GHz and 12MB Intel Smart Cache, it is suited to office productivity, web applications, collaboration platforms, data handling, and multitasking.
The Copilot+ PC platform includes an NPU rated at up to 49 TOPS, enabling supported AI workloads to run more efficiently. Lenovo AI Now is included as bundled software for compatible AI-assisted experiences.
The 32GB LPDDR5X memory is soldered to the system board and operates in dual-channel mode. The 1TB PCIe 4.0 NVMe SSD supports Opal 2.0 security and provides fast access to applications and business files.
The Lenovo ThinkPad T14s Gen 7 21YU000GEQ is ideal for professionals who need a lightweight, secure, AI-ready business laptop with strong multitasking performance, a premium 14-inch display, modern Thunderbolt connectivity, Wi-Fi 7, an Arabic keyboard, and Windows 11 Pro in Arabic and English.","{'Servers', 'Tablet Accessories', 'Gaming Laptop', 'Mini PC', 'Gaming', 'Desktop Computers', 'Home & office', 'Gaming & High Performance', 'Laptops', 'Point Of Sale', 'PC & Laptops'}","{'Processor Brand': 'Intel', 'Processor Type': 'Intel® Ultra 7', 'Processor Generation': 'Ultra 7', 'Processor Model': '335', 'Processor Speed': 'up to 4.7GHz', 'Number Of Cores': '8 - Cores', 'Processor Cache': '12 MB Cache', 'Memory Size': '32 GB', 'Memory Type': 'DDR5', 'Graphic Manufacturer': 'Intel', 'Graphic Memory Size': 'Shared Memory', 'Graphic Card Model': 'Intel® Graphics', 'Graphic Type': 'Integrated', 'Display Size': '14.0""', 'Display Technology': 'IPS', 'Display Type': 'Full HD+', 'Resolution': '1920 x 1200', 'Storage Technology': 'SSD', 'Storage Size': '1 TB', 'Optical Drive Type': 'nan', 'Ports': '1x USB-A (USB 5Gbps)  Always On  3x Thunderbolt™ 4  with USB PD 15-65W and DisplayPort™ 2.1  1x HDMI® 2.1  up to 4K/60Hz  1x Headphone / microphone combo jack (3.5mm)', 'Audio': 'Stereo speakers  2W x2  Dolby Atmos', 'Camera': '5.0MP + IR Discrete with Privacy Shutter  vHDR  Computer Vision on ISP', 'Keyboard': 'Backlit Full-size w/o numeric keypad', 'Keyboard Backlight': 'Yes', 'Color': 'Black', 'Battery Pack': '58 Wh Li-ion', 'Operating System': 'Windows 11 Pro', 'Warranty': '3 Years', 'Weight': '1.07kg', 'Width X Depth X Height': '21.90cm x 31.30cm x 1.86cm'}"
MVX43QA,Apple iPad Pro 13‑inch M4 7th Generation (2024) 9-Cores (512GB Storage / 8GB Memory) 10‑Core GPU Wifi Only - Space Black,Apple,City Center,https://citycenter.jo/apple-ipad-pro-13-inch-m4-7th-generation-2024-9-cores-512gb-storage-8gb-memory-10-core-gpu-wifi-only-space-black,https://image.citycenter.jo/cache/catalog/002026/42026/b1472026-1200x1200.jpg,1199.0,,JOD,True,,"{'Servers', 'Tablet Accessories', 'Gaming Laptop', 'Mini PC', 'Gaming', 'Desktop Computers', 'Home & office', 'Gaming & High Performance', 'Laptops', 'Point Of Sale', 'PC & Laptops'}","{'Model': 'Apple M4', 'Type': '38.99 WHR', 'RAM': '8 GB', 'Size': '13.0""', 'Resolution': '2752 x 2064', 'Capacity': '512 GB', 'SD Slot': 'No', 'Color': 'Space Black', 'Main': '12 MP', 'Selfie': '12 MP', 'Wi-Fi': 'Yes', 'Bluetooth': '5.3', 'GPU': 'Apple 10 Core', 'Operating System': 'iPadOS', 'Warranty': '1 Year'}"
83LY000NUS,"Lenovo Legion 5 15IRX10 (2025) AI-Powered Gaming PC 14Gen Intel Core i7 14700HX 20-Cores w/ Nvidia RTX 5050 8GB DDR7 & 2.5K OLED 165Hz Display , Eclipse Black",Lenovo,City Center,https://citycenter.jo/lenovo-legion-5-15irx10-2025-ai-powered-gaming-pc-14gen-intel-core-i7-14700hx-20-cores-w-nvidia-rtx-5050-8gb-ddr7-2-5k-oled-165hz-display-eclipse-black,https://image.citycenter.jo/cache/catalog/002025/102025/g61020258-1200x1200.jpg,1199.0,,JOD,True,,"{'Servers', 'Tablet Accessories', 'Gaming Laptop', 'Mini PC', 'Gaming', 'Desktop Computers', 'Home & office', 'Gaming & High Performance', 'Laptops', 'Point Of Sale', 'PC & Laptops'}","{'Processor Brand': 'Intel', 'Processor Type': 'Intel® Core I7', 'Processor Generation': '14th Generation', 'Processor Model': 'i7-14700HX', 'Processor Speed': 'up to 5.5GHz Max Turbo', 'Number Of Cores': '20 - Cores', 'Processor Cache': '33 MB Cache', 'Memory Size': '16 GB', 'Memory Type': 'DDR5', 'Graphic Manufacturer': 'Nvidia', 'Graphic Memory Size': '8 GB DDR7', 'Graphic Card Model': 'NVIDIA GeForece RTX 5050', 'Graphic Type': 'Dedicated Card', 'Display Size': '15.1""', 'Display Technology': 'OLED', 'Display Type': '2.5K', 'Resolution': '2560 x 1600', 'Refresh Rate': '165 Hz', 'Storage Technology': 'SSD', 'Storage Size': '1 TB', 'Optical Drive Type': 'nan', 'Ports': '2x USB-A (USB 5Gbps / USB 3.2 Gen 1)  1x USB-A (USB 5Gbps / USB 3.2 Gen 1)  Always On  1x USB-C® (USB 10Gbps / USB 3.2 Gen 2)  with USB PD 65-100W and DisplayPort™ 2.1  1x USB-C® (USB 10Gbps / USB 3.2 Gen 2)  with DisplayPort™ 1.4  1x HDMI® 2.1  up to 8K/60Hz  1x Headphone / microphone combo jack (3.5mm)  1x Ethernet (RJ-45)  1x Power connector', 'Camera': '5.0MP with E-shutter', 'Keyboard': '24-Zone RGB Backlit  English ( Arabic optional )', 'Keyboard Backlight': 'Yes', 'Communications': 'Integrated 10/100/1000 GbE LAN  Wi-Fi® 7  802.11be 2x2  Bluetooth® 5.4', 'Color': 'Eclipse Black', 'Battery Pack': '80 Whrs Li-ion Battery', 'Operating System': 'Windows 11 Home', 'Warranty': '1 Year', 'Weight': '1.90kg', 'Width X Depth X Height': '25.50cm x 34.40cm x 1.99cm'}"
21NS0012US,Lenovo ThinkPad X1 Carbon Gen 13 Aura Edition (2025) Intel® Ultra 7 Gen II 258V 8-Core Copilot+ PC Featherlight <1KG Long Battery Life w/ OLED 2.8K Screen - Black,Lenovo,City Center,https://citycenter.jo/lenovo-thinkpad-x1-carbon-gen-13-aura-edition-2025-intel-ultra-7-gen-ii-258v-8-core-copilot-pc-featherlight-1kg-long-battery-life-w-oled-2-8k-screen-black,https://image.citycenter.jo/cache/catalog/002026/42026/OLD972026-1200x1200.png,1999.0,,JOD,True,ThinkPad X1 Carbon Gen 13,"{'Servers', 'Tablet Accessories', 'Gaming Laptop', 'Mini PC', 'Gaming', 'Desktop Computers', 'Home & office', 'Gaming & High Performance', 'Laptops', 'Point Of Sale', 'PC & Laptops'}","{'Processor Brand': 'Intel', 'Processor Type': 'Intel® Ultra 7', 'Processor Generation': 'Ultra 7', 'Processor Model': '258V', 'Processor Speed': 'up to 4.8GHz', 'Number Of Cores': '8 - Cores', 'Processor Cache': '12 MB Cache', 'Memory Size': '32 GB', 'Memory Type': 'DDR5', 'Graphic Manufacturer': 'Intel', 'Graphic Memory Size': 'Shared Memory', 'Graphic Card Model': 'Intel® Arc™ 140T', 'Graphic Type': 'Integrated', 'Display Size': '14.0""', 'Display Technology': 'OLED', 'Display Type': '2.8K', 'Resolution': '2880 x 1800', 'Storage Technology': 'SSD', 'Storage Size': '1 TB', 'Optical Drive Type': 'nan', 'Ports': '1x USB-A (USB 5Gbps / USB 3.2 Gen 1)  1x USB-A (USB 5Gbps / USB 3.2 Gen 1)  Always On  2x USB-C® (Thunderbolt™ 4 / USB4® 40Gbps)  with USB PD 3.0 and DisplayPort™ 2.1  1x HDMI® 2.1  up to 4K/60Hz  1x Headphone / microphone combo jack (3.5mm)', 'Audio': 'Stereo speakers  2W x2  Dolby Atmos', 'Camera': '1080P FHD RGB+IR with Privacy Shutter', 'Keyboard': 'Backlit Full-size w/o numeric keypad', 'Keyboard Backlight': 'Yes', 'Color': 'Black', 'Battery Pack': '57 Wh Li-ion', 'Operating System': 'Windows 11 Pro', 'Warranty': '1 Year', 'Weight': '986.00g', 'Width X Depth X Height': '21.40cm x 31.20cm x 1.47cm'}"
21NU003KUS,Lenovo ThinkPad X1 2-in-1 Gen 10 Aura Edition (2025) Intel® Ultra 7 Gen II 258V vPro 8-Core Copilot+ PC Premium Experience & Support Long Battery Life w/ Touch Screen - Black,Lenovo,City Center,https://citycenter.jo/lenovo-thinkpad-x1-2-in-1-gen-10-aura-edition-2025-intel-ultra-7-gen-ii-258v-vpro-8-core-copilot-pc-premium-experience-support-long-battery-life-w-touch-screen-black,https://image.citycenter.jo/cache/catalog/002026/42026/VP972026-1200x1200.jpg,1999.0,,JOD,True,"Experience the new Lenovo ThinkPad X1 2-in-1 Gen 10
the most powerful convertible in the ThinkPad series, designed for the new era of work. 
Whether in the office, at university, while traveling, or working from home – this device adapts to your needs: as a laptop, tablet, presentation station, or drawing surface. 
Equipped with the latest Intel® Core™ Ultra processor technology, integrated AI acceleration (Intel® AI Boost) and impressive security and sustainability standards, it takes you to the next level – online and offline.
Artificial intelligence at a new level
Powered by Intel® Core™ Ultra V-, U-, or H-series processors combined with an integrated NPU (Neural Processing Unit), the ThinkPad X1 2-in-1 Gen 10 delivers up to 118 TOPS of AI performance . 
Whether AI-assisted image processing, generative AI, machine learning or large amounts of data – this device delivers reliable results without delay, even without an internet connection (Copilot+ PC-ready).
Impressive 14"" display for the highest demands
Choose between different high-end displays:
2.8K OLED with 120Hz : Ultra bright (500 nits), 100% DCI-P3 color space, DisplayHDR™ True Black 500, VRR for smooth displays – ideal for creatives.
WUXGA IPS (1920x1200) : with optional Privacy Guard , 100% sRGB, 500 nits, easy on the eyes and energy efficient.
All variants are multi-touch capable , with Eyesafe® 2.0 certification and 87.8% screen-to-body ratio – perfect for long working days.
Maximum performance & efficiency
Up to 64 GB LPDDR5x RAM (fast soldered, dual-channel)
Up to 2 TB PCIe SSD (NVMe®, Gen 4 or Gen 5 – depending on processor)
Intel® Arc™ Graphics (140T / 140V / 130V) for graphics-intensive applications
Whether video editing, programming or data analysis – the X1 2-in-1 Gen 10 delivers.
Long runtime & fast charging
With the 57Wh battery you can achieve depending on the configuration:
Up to 20.2 hours of battery life
Up to 29.9 hours of video playback
RapidCharge : 80% in just one hour
Security & privacy in focus
Connections without borders
Wi-Fi 7 & Bluetooth 5.4
Optional 4G LTE CAT16 or 5G Sub-6 GHz
2x Thunderbolt™ 4 / USB4 , 2x USB-A , HDMI 2.1 , jack , nano SIM slot
NFC & docking compatible","{'Servers', 'Tablet Accessories', 'Gaming Laptop', 'Mini PC', 'Gaming', 'Desktop Computers', 'Home & office', 'Gaming & High Performance', 'Laptops', 'Point Of Sale', 'PC & Laptops'}","{'Processor Brand': 'Intel', 'Processor Type': 'Intel® Ultra 7', 'Processor Generation': 'Ultra 7', 'Processor Model': 'i7-258V', 'Processor Speed': 'up to 4.8GHz', 'Number Of Cores': '8 - Cores', 'Processor Cache': '12 MB Cache', 'Memory Size': '32 GB', 'Memory Type': 'DDR5', 'Graphic Manufacturer': 'Intel', 'Graphic Memory Size': 'Shared Memory', 'Graphic Card Model': 'Intel® Arc™ 140T', 'Graphic Type': 'Integrated', 'Display Size': '14.0""', 'Display Technology': 'IPS', 'Display Type': 'Full HD+', 'Touchscreen': 'Yes', 'Resolution': '1920 x 1200', 'Storage Technology': 'SSD', 'Storage Size': '1 TB', 'Optical Drive Type': 'nan', 'Ports': '1x USB-A (USB 5Gbps / USB 3.2 Gen 1)  1x USB-A (USB 5Gbps / USB 3.2 Gen 1)  Always On  2x USB-C® (Thunderbolt™ 4 / USB4® 40Gbps)  with USB PD 3.0 and DisplayPort™ 2.1  1x HDMI® 2.1  up to 4K/60Hz  1x Headphone / microphone combo jack (3.5mm)', 'Audio': 'Stereo speakers  2W x2  Dolby Atmos', 'Camera': 'UHD 8.0MP + IR Discrete with Privacy Shutter  MIPI  Computer Vision', 'Keyboard': 'Backlit Full-size w/o numeric keypad', 'Keyboard Backlight': 'Yes', 'Color': 'Black', 'Battery Pack': '57 Wh Li-ion', 'Operating System': 'Windows 11 Pro', 'Warranty': '1 Year', 'Weight': '1.30kg', 'Width X Depth X Height': '21.70cm x 31.20cm x 1.60cm'}"
21KCS45500,Lenovo ThinkPad X1 Carbon Gen 12 (2024) Intel Core Ultra 7 155U 12-Cores w/ Intel® AI Boost NPU & Carbon Fiber Magnesium Chassis & Touch Screen - Black,Lenovo,City Center,https://citycenter.jo/lenovo-thinkpad-x1-carbon-gen-12-2024-intel-core-ultra-7-155u-12-cores-w-intel-ai-boost-npu-carbon-fiber-magnesium-chassis-touch-screen-black,https://image.citycenter.jo/cache/catalog/002024/92024/MUS6102024-1200x1200.jpg,1599.0,,JOD,True,"How Do You Show Respect for the Planet?
The Lenovo ThinkPad X1 Carbon Gen 12 (14ʺ Intel) laptop still uses carbon fiber for the chassis — but better yet some of that carbon fiber is recycled from post-industrial remnants and is used along with 90% recycled magnesium. Plus, the chassis, the battery pack, the speaker enclosure, and the power adapter all include recycled post-consumer content. And we don’t stop there. The packaging is 100% plastic-free and comprised in part with rapid-renewable materials made from bamboo-sugar-cane fiber.
Elevated Performance & Lasting Battery
The ThinkPad X1 Carbon Gen 12 boasts the world’s first laptop powered by Intel® Core™ Ultra processors, making it ideal for creating and on-the-go productivity. Enjoy optimized performance with workloads pushed to dedicated AI engines, including the low-power neural processing unit (NPU) for sustained tasks and resilient battery life. Go ahead, turn on auto-framing or low-light enhancement for your online meetings, even when unplugged! Choose the Intel vPro® Evo™ Edition, for multilayer security, professional-grade performance, reliable stability, and complete management for IT.
Raise the Bar on Collaboration
A Communications Bar, positioned at the top of the display for easy laptop opening, houses two cameras (FHD / infrared (IR)) — or upgrade to the premium 8MP & IR Mobile Industry Processor Interface (MIPI) with Computer Vision — both options include a webcam privacy shutter. Additionally, two 360-degree mics with AI-based noise cancellation, combined with Dolby Voice® and Dolby Atmos® deliver a superb audio experience. Plus, the ThinkPad X1 Carbon Gen 12 is Zoom-certified. Make calls, listen to music, or watch a video and enjoy the sublime sounds.
You Spoke. We Listened: We’ve Redesigned Our Legendary Keyboard
Our redesigned ThinkPad keyboard now includes tactile markings to help people with visual impairments more easily find the correct keys. We’ve moved the fingerprint reader to the keyboard, resulting in a larger sensor for a better experience. Plus, our TrackPad is even larger now, at 120mm / 4.72ʺ. Our beloved red TrackPoint still lets you navigate —  but with a double tap, it opens the ThinkPad TrackPoint Quick Menu to optimize audio-visuals, set alerts against muting, and even take notes with the Dictation Toolbar for handy speech-to-text transcription.
A Feast for the Eyes
Razor-thin bezels frame an optional stunning 14ʺ 2.8K OLED display with 120Hz refresh rate. Sharp, clear details make content pop and colors more vibrant than ever on the ThinkPad X1 Carbon Gen 12 laptop. But perhaps the best part yet? It’s easy on the eyes with Eyesafe® certification, so you can put in the long hours to meet your deadlines and not worry about eye-strain and fatigue.
Engineered for a No-Compromise Experience
The Intel® Evo™ Edition, ThinkPad X1 Carbon Gen 12 laptop is engineered to do it all. Experience all-day battery life, instant wake, and best-in-class connectivity. No matter what tasks you tackle, this device is highly responsive. Plus, with Intel® Unison™, you can sync your laptop with any iOS or Android smartphone and then call or text, and even transfer files, photos, and videos all from the convenience of your PC.
Unleash Software Superpowers
Get the most out of your device with preinstalled Lenovo apps. Lenovo View is an AI-based camera app that enhances video quality and provides intelligent collaboration, privacy, and digital wellness features. Lenovo Vantage centralizes settings to safeguard data, automate updates, and improve performance — or Lenovo Commercial Vantage for IT manageability. We make it easier and safer to do your job well.
Stand Tough With Battle-Tested ThinkPad
We use the US Department of Defense's MIL-STD 810H to create a balance of reliability and durability for ThinkPad laptops. Meeting or exceeding 12 standards, 26 procedures, and 200+ quality checks ensure that these devices run in extreme conditions, including harsh variables like Arctic wilderness, desert dust storms, extreme temps, pressure, humidity, vibration, and more.
Your Face. Your Fingerprint. Your Fortress.
Biometrics provide extra protection on the ThinkPad X1 Carbon Gen 12 laptop, from the fingerprint reader to facial recognition software. ThinkShield, our comprehensive suite of security solutions, boasts discrete Trusted Platform Module (dTPM) to safeguard critical data with encryption. Plus, AI-powered Intel® Threat Detection Technology helps prevent ransomware, cryptojacking, and more. When it comes to security and protecting your assets, we’ve got you covered","{'Servers', 'Tablet Accessories', 'Gaming Laptop', 'Mini PC', 'Gaming', 'Desktop Computers', 'Home & office', 'Gaming & High Performance', 'Laptops', 'Point Of Sale', 'PC & Laptops'}","{'Processor Brand': 'Intel', 'Processor Type': 'Intel® Ultra 7', 'Processor Generation': 'Ultra 7', 'Processor Model': '155U', 'Processor Speed': 'up to 4.8GHz', 'Number Of Cores': '12 - Cores', 'Processor Cache': '12 MB Cache', 'Memory Size': '32 GB', 'Memory Type': 'DDR5', 'Graphic Manufacturer': 'Intel', 'Graphic Memory Size': 'Shared Memory', 'Graphic Card Model': 'Intel® Graphic', 'Graphic Type': 'Integrated', 'Display Size': '14.0""', 'Display Technology': 'IPS', 'Display Type': 'Full HD+', 'Touchscreen': 'Yes', 'Resolution': '1920 x 1200', 'Storage Technology': 'SSD', 'Storage Size': '1 TB', 'Optical Drive Type': 'nan', 'Ports': '1x USB-A (USB 5Gbps / USB 3.2 Gen 1)  1x USB-A (USB 5Gbps / USB 3.2 Gen 1)  Always On  2x USB-C® (Thunderbolt™ 4 / USB4® 40Gbps)  with USB PD 3.0 and DisplayPort™ 2.1  1x HDMI® 2.1  up to 4K/60Hz  1x Headphone / microphone combo jack (3.5mm)', 'Audio': 'Dolby Atmos® 2 x speakers 2 x 360-degree quad-array microphones', 'Camera': '1080P FHD IR+RGB with Privacy Shutter', 'Keyboard': 'Full-size w/o numeric keypa', 'Keyboard Backlight': 'Yes', 'Color': 'Black', 'Battery Pack': '57 Wh Li-ion', 'Operating System': 'Windows 11 Pro', 'Warranty': '1 Year', 'Weight': '1.08kg', 'Width X Depth X Height': '21.40cm x 31.28cm x 1.49cm'}"
X1404VAP-V14,ASUS NEW Vivobook 14 (2023) X1404VAP 13th Gen Intel Core 5 10-Cores Thin & Light Military-Grade w/ Windows 11 Home (Customized) - Quiet Blue,Asus,City Center,https://citycenter.jo/asus-new-vivobook-14-2023-x1404vap-13th-gen-intel-core-5-10-cores-thin-light-military-grade-w-windows-11-home-customized-quiet-blue,https://image.citycenter.jo/cache/catalog/002026/42026/x9720265-1200x1200.png,469.0,,JOD,True,,"{'Servers', 'Tablet Accessories', 'Gaming Laptop', 'Mini PC', 'Gaming', 'Desktop Computers', 'Home & office', 'Gaming & High Performance', 'Laptops', 'Point Of Sale', 'PC & Laptops'}","{'Processor Brand': 'Intel', 'Processor Type': 'Intel® Core 5', 'Processor Generation': 'Series 1', 'Processor Model': '120U', 'Processor Speed': 'up to 5.0GHz', 'Number Of Cores': '10 - Cores', 'Processor Cache': '12 MB Cache', 'Memory Size': '12 GB', 'Memory Type': 'DDR4', 'Memory Slot (Total)': '1', 'Memory Bus': '3200MHz', 'Graphic Manufacturer': 'Intel', 'Graphic Memory Size': 'Shared Memory', 'Graphic Card Model': 'Intel Graphic', 'Graphic Type': 'Integrated', 'Display Size': '14.0""', 'Display Technology': 'TN', 'Display Type': 'Full HD', 'Resolution': '1920 x 1080', 'Storage Technology': 'SSD', 'Storage Size': '256 GB', 'Optical Drive Type': 'nan', 'Ports': '1x USB 2.0 Type-A (data speed up to 480Mbps)  1x USB 3.2 Gen 1 Type-C (data speed up to 5Gbps)  2x USB 3.2 Gen 1 Type-A (data speed up to 5Gbps)  1x HDMI 1.4  1x 3.5mm Combo Audio Jack  1x DC-in', 'Audio': 'SonicMaster with Cortana and Alexa voice-recognition support', 'Camera': '720p HD camera With privacy shutter', 'Keyboard': 'English (Arabic Optional)', 'Keyboard Backlight': 'No', 'Communications': 'Wi-Fi 6(802.11ax) (Dual band) 1*1  Bluetooth 5.2', 'Color': 'Blue', 'Battery Pack': '42Whr', 'Operating System': 'Windows 11 Home', 'Warranty': '1 Year', 'Weight': '1.40kg', 'Width X Depth X Height': '21.39cm x 32.49cm x 1.79cm'}"
