,Links
0,https://citycenter.jo/computer-hardware-peripherals/peripherals-power-protection-and-ups
1,https://citycenter.jo/computer-hardware-storage/storage-memory-card/kingston-sdcs3-256gb-canvas-select-plus-microsdxc-card-up-to-150mb-s-a1-class-10-uhs-i-with-adapter
2,https://citycenter.jo/gaming/gaming-diy-water-cooling/accessories/soft-tubing/for-12-16mm-7-16-5-8-tubing
3,https://citycenter.jo/gaming/gaming-diy-water-cooling/fittings/angled-adapters/45
4,https://citycenter.jo/computer-hardware/components-video-card/video-card-vga-accessory-and-cooling-fan
5,https://citycenter.jo/pc-and-laptops/laptop-accessories-laptop-and-desktop/accessory-cooling-pad
6,https://citycenter.jo/electronics/electronics-security-and-surveillance?page=1
7,https://citycenter.jo/computer-hardware/components-fan-and-heatsink/fan-and-heatsink-custom-liquid-cooling/cooling-accessories/accessories-soft-tubing/for-12-16mm-7-16-5-8-tubing-1
8,https://citycenter.jo/pc-and-laptops/pc-and-laptops-tablet-pc
9,https://citycenter.jo/gaming/gaming-peripherals/printer-scanner/multifunction-printer/laser-printer
10,https://citycenter.jo/gaming/gaming-cases
11,https://citycenter.jo/computer-hardware-storage/storage-memory-card/kingston-16gb-microsdhc-flash-card-class-10
12,https://citycenter.jo/gaming/gaming-cpu-and-processor/processors-desktops
13,https://citycenter.jo/electronics/electronics-security-and-surveillance/tp-link-vigi-c440i-4mp-ir-turret-network-camera-human-vehicle-classification-smart-detection-h-265-corridor-mode-poe-flexible-management
14,https://citycenter.jo/computer-hardware-peripherals/peripherals-graphics-tablet
15,https://citycenter.jo/gaming/gaming-gaming-pcs/custom-gaming-pcs/intel-power-system/core-i5-system
16,https://citycenter.jo/pc-and-laptops/pc-and-laptops-desktops/desktops-all-one
17,https://citycenter.jo/computer-hardware-monitor-and-display
18,https://citycenter.jo/gaming/gaming-peripherals/stream-equipments
19,https://citycenter.jo/electronics/electronics-security-and-surveillance/hikvision-ds-kis201-analog-video-intercom-system
20,https://citycenter.jo/computer-hardware-storage/storage-memory-card/sd-micro-sd
21,https://citycenter.jo/computer-hardware-storage/storage-memory-card/samsung-evo-plus-w-sd-adaptor-128gb-micro-sdxc-memory-card-up-to-160mb-s-for-gaming-devices-android-tablets-smart-phones
22,https://citycenter.jo/computer-hardware-audio/audio-speaker-and-headset
23,https://citycenter.jo/computer-hardware/components-motherboard
24,https://citycenter.jo/gaming/gaming-cases/cases-mini-itx-case
25,https://citycenter.jo/computer-hardware-peripherals/peripherals-mouse-pad
26,https://citycenter.jo/gaming/gaming-diy-water-cooling/fittings/angled-adapters/2-45
27,https://citycenter.jo/gaming/gaming-peripherals/gaming-controller
28,https://citycenter.jo/gaming/gaming-memory-ram/server-memory
29,https://citycenter.jo/computer-hardware-monitor-and-display/monitor-and-display-1415-lcdled-monitor
