,URLs
0,https://gts.jo/en/okade-bag-laptop-material-polyester-waterproof-heavy-duty-t67-15-6-light-blue?search=%20&page=79
1,https://gts.jo/en/hp-spectre-x360-13-ap0010ne-core-i7?search=%20&page=234
2,https://gts.jo/en/product/search?search=%20&page=32
3,https://gts.jo/en/accessories/RENATA
4,https://gts.jo/en/kingston-32gb-datatraveler-106?search=%20&page=264
5,https://gts.jo/en/seagate-barracuda-hard-drive-1tb?search=%20&page=246
6,https://gts.jo/en/dell-latitude-5590-core-i5?search=%20&page=162
7,https://gts.jo/en/laptop-asus-vivobook-15-x1502z-core-i7-16gb-512gb-ssd-12th-generation-free-backpack?search=%20&page=290
8,https://gts.jo/en/innate-s99-blutetooth-fm-sd-headset?search=%20&page=245
9,https://gts.jo/en/hp-ink-cartridge-650-color?search=%20&page=214
10,https://gts.jo/en/product/search?search=%20&page=66
11,https://gts.jo/en/phone-tablets/Mcdodo
12,https://gts.jo/en/product/search?search=%20&page=110
13,https://gts.jo/en/lenovo-new-ideapad-slim-3-2024-13th-gen-intel-core-i3-1305u-8gb-ddr5-256gb-ssd-15-6-fhd-ips-gray-1?search=%20&page=340
14,https://gts.jo/en/product/search?search=%20&page=89
15,https://gts.jo/en/business-backpack-stylish-functional-multiple-compartments-with-durable-materials-up-to-15-6-laptop-fits-black?search=%20&page=10
16,https://gts.jo/en/canon-printer-laser-i-sensys-mf3010?search=%20&page=13
17,https://gts.jo/ar/product/search?search=%20&page=270
18,https://gts.jo/en/tp-link-ac750-dual-band-wireless-cable-router-4-10-100-lan-10-100-wan-ports-support-guest-network-and-parental-control-750mbps-speed-wi-fi-3-antennas-archer-c20-blue-2-4-ghz?search=%20&page=95
19,https://gts.jo/en/anker-usb-c-to-usb-a-3-0-cable-6ft-1-8m-high-durability-type-c-braided-charging-cable-compatible-with-all-android-devices-and-more-18-month-warranty?search=%20&page=131
20,https://gts.jo/en/anker-544-powerline-usb-c-to-usb-c-cable-fast-charging-140w-6ft-cable-a80f2-18-month-warranty?search=%20&page=129
21,https://gts.jo/en/lenovo-v15-laptop-i3-10110u-ram-4gb-1tb-hhd-250gb-ssd-10th-generation-grey?search=%20&page=347
22,https://gts.jo/en/kingston-s-fury-ssd-renegade-pcie-4-0-m-2-nvme-2000gb?search=%20&page=273
23,https://gts.jo/en/okade-bag-laptop-material-polyester-waterproof-heavy-duty-t68-15-6-pink?search=%20&page=79
24,https://gts.jo/en/laptop-asus-tuf-gaming-a15-amd-ryzen-7-7435hs-nvidia-geforce-rtx-4060-8gb-ddr6-16gb-ddr5-ram-15-6-inch-fhd-144hz-graphite-black-1-1-1-1-1?search=%20&page=287
25,https://gts.jo/en/chromatic-wired-gaming-mouse-rgb-gm20?search=%20&page=360
26,https://gts.jo/en/huawei-y6-prime-2018?search=%20&page=370
27,https://gts.jo/en/ideapad-flex-5-14iau7-intel-core-i5-1235u-4-4ghz-8gb-ddr4-512gb-ssd-14-touch-wuxga-ips-300nits-glossy-windows-11-home?search=%20&page=245
28,https://gts.jo/en/joyroom-jr-ew04-wired-series-half-in-ear-wired-earphones?search=%20&page=252
29,https://gts.jo/en/promate-powermine-130-38000mah-130w-quick-charging-power-bank-charge-laptops-tablets-smartphones-or-any-usb-c-charging-circuits-protect-black?search=%20&page=400
30,https://gts.jo/en/keyboard-gaming-marvo-k630?search=%20&page=260
31,https://gts.jo/en/samsung-galaxy-a06-4-gb-ram-64-gb-storage-gold?search=%20&page=90
32,https://gts.jo/en/microsoft-365-personal-12-month-subscription-for-1-personal-middle-east-version?search=%20&page=365
33,https://gts.jo/en/gaming-monitor-msi-mag-276cf-e20-curve-1500r-27-fhd-200-hz-0-5ms-rapid-va-hdr-ready-amd-freesync-black-3-years-warranty?search=%20&page=20
34,https://gts.jo/en/lenovo-ideapad-330-dual-core-3867u?search=%20&page=335
35,https://gts.jo/en/mcdodo-wireless-earbuds-bluetooth-5-3-headphones-true-wireless-noise-cancelling-earbuds-led-power-display-earphones-with-wireless-charging-case-for-android-ios-tv-smart-phone-computer-laptop-sports?search=%20&page=359
36,https://gts.jo/en/laptop-lenovo-ideapad-l3-15iml05l-core-i5-4gb-2gb-nvidia-10th-generation?search=%20&page=315
37,https://gts.jo/en/samsung-odyssey-g5-ag504-32-flat-monitor-ips-2k-2560-x-1440-165hz-1ms-gtg-hdr10-99-srgb-10bit-g-sync-compatible-w-ergonomic-stand?search=%20&page=414
38,https://gts.jo/en/huawei-y6-2019?search=%20&page=370
39,https://gts.jo/en/abodos-headset-lightness-super-bass-as-wh26-pink?search=%20&page=123
40,https://gts.jo/en/webcam-hd-001-480p?search=%20&page=442
