,Links
0,https://citycenter.jo/gaming/gaming-motherboard/msi-b650-gaming-plus-wifi-6e-ddr5-am5-support-amd-ryzen-7000-series-pcie-4-0-2x-m-2-usb-3-2-gen-2-atx-mainboard
1,https://citycenter.jo/gaming/gaming-storage-drive/ssds/samsung-t5-evo-4tb-portable-external-ssd-usb-3-2-gen-1-seq-read-speeds-up-to-460mb-s-for-gaming-content-creation-black
2,https://citycenter.jo/computer-hardware/components-solid-state-drive-ssd/synology-bee-series-drive-2tb-pocket-external-ssd-usb-c-connector-usb-3-2-gen-2-interface-up-to-1050mb-s-speed-black
3,https://citycenter.jo/gaming/samsung-pro-plus-128gb-microsd-memory-card-microsdxc-up-to-180-mb-s-full-hd-4k-uhd-uhs-i-c10-u3-v30-a2-for-android-smartphones-tablets-gopro-and-dji-drone
4,https://citycenter.jo/electronics/computer-hardware-projector-and-screen/accessories/ek-cryofuel-250ml-solid-electric-purple-fluid-concentrate
5,https://citycenter.jo/computer-hardware/components-motherboard/asus-rog-strix-z890-f-gaming-wi-fi-7-z890-ddr5-lga-1851-advanced-ai-pc-ready-5x-m-2-ssd-pcie-5-0-thunderbolt-4-usb-type-c-2-5gb-lan
6,https://citycenter.jo/gaming/gaming-peripherals/mouse/logitech-g102-light-sync-gaming-customizable-rgb-lighting-6-programmable-buttons-gaming-grade-sensor-8-000dpi-tracking-light-weight-white
7,https://citycenter.jo/electronics/electronics-smart-home/amazon-echo-dot-5th-gen-2022-release-with-clock-bigger-vibrant-sound-helpful-routines-alexa-cloud-blue
8,https://citycenter.jo/computer-hardware-peripherals/peripherals-keyboard/razer-deathstalker-v2-pro-wireless-bluetooth-low-profile-optical-switches-hyperspeed-50-hr-ultra-durable-coated-keycaps-linear-red
9,https://citycenter.jo/computer-hardware-storage/internal-external-hdds/wd-my-book-14tb-usb-3-0-desktop-hard-drive
10,https://citycenter.jo/computer-hardware/computer-hardware-monitor-and-display/dahua-lm24-a201f-24-ips-full-hd-100hz-anti-blue-light-eye-protective-micro-bezel-design-w-hdmi-vga-interface-black
11,https://citycenter.jo/computer-hardware/components-solid-state-drive-ssd/samsung-990-pro-1tb-w-heatsink-ssd-pcie-4-0-m-2-internal-ssd-fastest-speed-for-gaming-heat-control-compatible-w-playstation5
12,https://citycenter.jo/electronics?page=7
13,https://citycenter.jo/gaming/gaming-monitor/lcd-led-monitors/lenovo-thinkvision-e29w-20-29-ips-ultra-wide-90hz-built-in-speakers-adjustable-stand
14,https://citycenter.jo/gaming/gaming-peripherals/keyboard/logitech-mk470-slim-wireless-keyboard-and-mouse-combo-arabic-english-layout
15,https://citycenter.jo/gaming/gaming-power-supply/asus-rog-thor-850w-80-platinum-fully-modular-rgb-w-oled-panel
16,https://citycenter.jo/gaming/gaming-storage-drive/hard-drives/portable-external-hdds/wd-my-passport-6tb-portable-external-hard-drive-backup-software-defense-against-ransomware-password-protection-usb-3-1-usb-3-0-black
17,https://citycenter.jo/computer-hardware-storage/ssds-solid-state-drive/wd-blue-sn5000-1tb-nvme-internal-ssd-pcie-gen-4-0-m-2-2280-up-to-5-150-mb-s-w-ncache-4-0-technology
18,https://citycenter.jo/gaming/gaming-peripherals/keyboard/wired/lenovo-essential-wired-combo-keyboard-mouse-set
19,https://citycenter.jo/computer-hardware/components-power-supply/thermaltake-toughpower-gf3-1350w-80-gold-full-modular-true-600w-12vhpwr-connectors-atx-3-0-pci-e-5-0-ready-premium-edition
20,https://citycenter.jo/computer-hardware/components-memory-ram/kingston-hyperx-4gb-kit-ddr3-1600mhz
21,https://citycenter.jo/computer-hardware/gigabyte-aorus-1tb-gen5-pci-express-5-0x4-nvme-2-0-m-2-2280-up-to-13-600-mb-s-sequential-read-up-to-10-200-mb-s-sequential-write
22,https://citycenter.jo/gaming/graphic-card-gaming/desktop-graphics-cards/msi-gaming-ventus-2x-black-geforce-rtx-4060-ti-16gb-gdrr6-128-bit-torx-fan-graphics-card
