,link,product_name,product_description,currency,price,sale,whatsapp_number
0,https://citycenter.jo/aruba-instant-on-1930-24-port-poe-managed-switch-with-4x-sfp-128-gb-s-switching-capacity-370w-power-budget-white?search=%20&page=214,Aruba Instant On 1930 24-Port PoE+ Managed Switch with 4x SFP+ 128 Gb/s Switching Capacity 370W Power Budget- White,"['', '24 x Gigabit Ethernet PoE+ Ports', '4 x 10Gb SFP+ Slots', '128 Gb/s Switching Capacity', '95.23 Mpps Forwarding Rate', '800 MHz ARM Cortex-A9 CPU', 'Rackmount Design', '370W Power Budget', 'Supports Mobile App & Cloud Management']",JOD,399.00,,+962796802525
1,https://citycenter.jo/msi-suprim-liquid-x-geforce-rtx-4090-24gb-gdrr6x-384-bit-pci-express-4-0-video-card?search=%20&page=406,MSI SUPRIM Liquid X GeForce RTX 4090 24GB GDRR6X 384-Bit PCI Express 4.0 Video Card,[],JOD,"1,799.00",,+962796802525
2,https://citycenter.jo/logitech-ergo-m575s-wireless-trackball-mouse-wireless-ergonomic-mouse-with-bluetooth-and-encrypted-dongle-comfortable-thumb-control-precise-and-smooth-tracking-for-pc-mac-black-blue-ball?search=%20&page=101,"Logitech Ergo M575S Wireless Trackball Mouse, Wireless Ergonomic Mouse with Bluetooth and Encrypted Dongle, Comfortable Thumb Control, Precise and Smooth Tracking, for PC/Mac - Black Blue Ball","['Less Movement, More Comfort: The sculpted shape of the ERGO M575S wireless trackball mouse keeps your hand relaxed for hours of smooth, precise tracking with thumb control - now with quiet clicks', '25% less muscle strain in your forearm (1): This wireless ergonomic mouse has been developed with Logi Ergo Lab experts, user-tested and certified by ergonomists for all-day comfort', 'Improved forearm posture (1): The ergonomic shape of the ERGO M575S supports your hand and realigns your forearm into a better posture throughout the day; a good fit for most hand sizes', 'Work it your way: Experience enhanced control with 3 customizable buttons, time-saving shortcuts, and Smart Actions; adjust the cursor speed to your preference with the Logi Options plus App (2)', 'Save space with thumb control: With the ERGO M575S, you can move your cursor without moving your hand, making it ideal for small or space-saving setups and for use on any surface', 'Easy to Connect, Long Battery Life: Connect your ergonomic wireless mouse using Bluetooth or the included Logi Bolt USB receiver; enjoy up to 18 months of battery life (AA battery included) (3)', 'Made with recycled plastic: The plastic parts in the ERGO M575S Bluetooth trackball mouse are made of certified post-consumer recycled plastic (Graphite: 52%, Off-White: 21%) (4)']",JOD,35.00,,+962796802525
3,https://citycenter.jo/anker-usb-c-hub-5-in-1-usbc-to-hdmi-splitter-with-4k-display-1-x-powered-usb-c-5gbps-2-powered-usb-a-3-0-5gbps-data-ports-for-macbook-pro-macbook-air-dell-and-more-black?search=%20&page=10,"Anker USB C Hub, 5-in-1 USBC to HDMI Splitter with 4K Display, 1 x Powered USB-C 5Gbps & 2×Powered USB-A 3.0 5Gbps Data Ports for MacBook Pro, MacBook Air, Dell and More - Black","['5-in-1 Connectivity: Equipped with a 4K HDMI port, a 5 Gbps USB-C data port, two 5 Gbps USB-A ports, and a USB C 100W PD-IN port. Note: The USB C 100W PD-IN port supports only charging and does not support data transfer devices such as headphones or speakers.', 'Powerful Pass-Through Charging: Supports up to 85W pass-through charging so you can power up your laptop while you use the hub. Note: Pass-through charging requires a charger (not included). Note: To achieve full power for iPad, we recommend using a 45W wall charger.', 'Transfer Files in Seconds: Move files to and from your laptop at speeds of up to 5 Gbps via the USB-C and USB-A data ports. Note: The USB C 5Gbps Data port does not support video output.', 'HD Display: Connect to the HDMI port to stream or mirror content to an external monitor in resolutions of up to 4K@30Hz. Note: The USB-C ports do not support video output.']",JOD,29.00,,+962796802525
4,https://citycenter.jo/awei-t52-anc-earbuds-wireless-bluetooth-5-3-noise-cancelling-headphones-true-wireless-ipx6-waterproof-stereo-in-ear-earphones-with-built-in-microphone-black?search=%20&page=245,Awei T52 ANC Earbuds Wireless Bluetooth 5.3 Noise Cancelling Headphones True Wireless IPX6 Waterproof Stereo in-Ear Earphones with Built-in Microphone (Black),"['Active noise cancellation. Generates sound waves opposite to external noise, neutralizing and reducing ambient noise with 30db depth', 'Bluetooth 5.3 Fast and stable performance. Low latency faster transmission, no jam or disconnection, audio video synchronization, compatible with Apple and Android devices', 'Cool ambient lights ignite E-sports atmosphere. Not only will you be in the spotlight, but your e-sports confidence will explode', '24h Play Time 300MAH Charging Case. More durable and safer Li-polymer batteries with higher density and higher capacity', 'Environmental Noise Cancellation High-definition calls without compromise. Pick up voice and reduce ambient noise precisely with the new ENC algorithm']",JOD,15.00,,+962796802525
5,https://citycenter.jo/blackview-bv6300-pro-unlocked-rugged-smartphone-6gb-128gb-waterproof-smartphone-5-7-hd-display-4380mah-battery?search=%20&page=31,"Blackview BV6300 Pro Unlocked Rugged Smartphone (6GB/128GB) Waterproof Smartphone 5.7"" HD+ Display 4380mAh Battery","Blackview BV6300 Pro Rugged Mediatek MT6771T Helio P70 Octa-core (4x2.1 GHz Cortex-A73 & 4x2.0 GHz Cortex-A53) , 6GB RAM , 128GB Storage , 5.7"" IPS LCD (720x1440) 18:9 ratio (~282 ppi density) Corning Gorilla Glass 3 , Mali-G72 MP3 , 16 MP Rear & 13 MP Camera Front , LTE/WIFI  , Bluetooth 5.0 , 4,320 mAh Battery , Android 10",JOD,119.00,,+962796802525
6,https://citycenter.jo/lenovo-thinkstation-p3-tiny-workstation-2023-13gen-intel-core-i7-vpro-16-cores-superior-performance-w-nvidia-t400-4gb-gddr6-black?search=%20&page=366,Lenovo ThinkStation P3 Tiny Workstation (2023) 13Gen Intel Core i7 vPro 16-Cores Superior Performance w/ NVIDIA® T400 4GB GDDR6 - Black,"Lenovo ThinkStation P3 Tiny Workstation (2023) Intel 13Gen Core i7 13700T vPro Processor up to 4.9Ghz 16-Cores 54M Cache , 16GB SO-DIMM DDR5-4800 Non-ECC , 512GB SSD M.2 2280 PCIe® 4.0x4 Performance NVMe® Opal , NVIDIA® T400 (4GB GDDR6) , Wireless & Bluetooth , 1 Years Warranty , Windows 11 Pro",JOD,999.00,,+962796802525
7,https://citycenter.jo/victus-by-hp-2023-15-fa1023ne-new-13gen-intel-core-i7-14-cores-w-rtx-4050-6gb-144hz-display-white?search=%20&page=465,Victus by HP (2023) 15-fa1023ne NEW 13Gen Intel Core i7 14-Cores w/ RTX 4050 6GB & 144Hz Display - White,"Victus by HP (2023) 15-fa1023ne 13Gen Core i7 13700H 14-Core up to 5.0GHz 24M Cashe , 16 GB DDR4-3200 MHz RAM , 512 GB PCIe® NVMe™ M.2 SSD ,  NVIDIA® GeForce RTX™ 4050 Laptop GPU (6 GB GDDR6 dedicated) ,  15.6"" IPS Full HD 144Hz 250 nits Anti-glare , Camera , Wireless , Backlit Arabic/English  , Windows 11 Home",JOD,949.00,849.00,+962796802525
8,https://citycenter.jo/pny-nvidia-quadro-t1000-4-gb-gddr6-graphics-card-w-4-mini-displayports-lp-single-slot?search=%20&page=411,PNY Nvidia Quadro T1000 4 GB GDDR6 Graphics Card w/ 4 MINI DisplayPorts LP Single Slot,[],JOD,299.00,,+962796802525
9,https://citycenter.jo/netgear-xr1000-nighthawk-pro-gaming-wifi-6-ax5400-gigabit-dual-band-wireless-speed-up-to-5-4gbps-with-dumaos-3-0-optimizes-lag-free-server-connections-router?search=%20&page=125,NETGEAR (XR1000) Nighthawk Pro Gaming WiFi 6 AX5400 Gigabit Dual Band Wireless Speed (up to 5.4Gbps) with DumaOS 3.0 Optimizes Lag-Free Server Connections Router,"['Powered by DumaOS 3.0. Reduce ping rates up to 93% and enjoy faster, lag-free online gaming and smoother streaming with this Router OS built especially for gamers', 'Fast AX5400 dual-band WiFi 6 performance with up to 4x more device capacity than AC routers', 'Works with any wired Ethernet or wireless gaming device including PCs, Xbox, PlayStation & Nintendo Switch consoles', 'Plug in computers, game consoles, streaming players and more with 4 x 1 G Ethernet ports', 'Share a storage drive with any connected device using the 1 x 3.0 USB port', 'NETGEAR Armor software provides an automatic shield of security for your WiFi and connected devices for real-time protection against hackers and added privacy with VPN. 30-day trial included', 'NETGEAR routers are secure out of the box and built to stay that way with automatic firmware updates and industry-leading safety features to help protect you and your family']",JOD,229.00,,+962796802525
