,link,product_name,product_description,currency,price,sale,whatsapp_number
0,https://citycenter.jo/arozzi-velocita-gaming-racing-simulator-stand-black?search=%20&page=18,Arozzi Velocita Universal Racing Simulator Cockpit Compatible with Most Racing Sim Gear & Gaming Chairs Collapsible Telescopic and Portable - Black,"The most compact racing simulator stand on the market, Compatible with almost any gaming or office chair with a 5-star base , Compatible with major brands of gaming peripherals (steering wheel, pedals and gear shift) , Adjustable length and position of gear shift arm (left or right) , Adjustable steering wheel, pedal and gear shift plates",JOD,149.00,,+962796802525
1,https://citycenter.jo/hifuture-altus-bluetooth-5-3-speaker-with-aptx-waterproof-up-to-8-hours-battery-life-true-wireless-stereo-tws-mode-8-0-ipx5-black?search=%20&page=64,"HiFuture Altus Bluetooth 5.3 Speaker with APTX waterproof, up to 8-Hours Battery Life, True Wireless Stereo (TWS) mode, 8.0, IPX5 - Black","['Durable and Versatile Design: The Altus features a rugged exterior for long-lasting use and a multiway strap that allows for versatile carrying options—wear it on your wrist, attach it to your backpack, or hang it from a parasol.', 'Outdoor-Ready Construction: With an IPX5 rating, this speaker is both waterproof and dustproof, making it perfect for use by the pool, at the beach, or in the park.', 'Seamless Wireless Connectivity: Bluetooth 5.3 ensures faster, more stable connections and hassle-free pairing, enabling hands-free phone calls and easy audio streaming during your outdoor adventures.', 'Extended Battery Life: Enjoy up to 8 hours of uninterrupted music playback, making the Altus ideal for activities like yoga sessions, beach outings, or relaxed outdoor gatherings.', '1. Stylish and Functional Features: The Altus combines an edgy design with mesh texture and vibrant fabrics for a standout look. It includes smart power-saving features with Type-C fast charging for quick power replenishment and advanced True Wireless Stereo (TWS) mode to pair two speakers for a richer, more immersive sound experience.']",JOD,20.00,,+962796802525
2,https://citycenter.jo/redragon-m724w-wired-gaming-mouse-42g-ultra-light-12-400-max-dpi-optical-gaming-mouse-with-5-programmable-buttons-ergonomic-natural-grip-build-software-supports-diy-keybinds-dpi-white?search=%20&page=430,"Redragon M724W Wired Gaming Mouse, 42G Ultra-Light 12,400 Max DPI Optical Gaming Mouse with 5 Programmable Buttons, Ergonomic Natural Grip Build, Software Supports DIY Keybinds & DPI - White","['Pentakill, 5 DPI Levels - Geared with 5 redefinable DPI levels (default as: 1200/2400/3500/5500/12400), easy to switch between different game needs. Dedicated demand of DPI options between 200-12,400 is also available to be processed by software.', '42 Gram Lightweight - Coming in hot is the LIGHTEST Redragon mouse, selected ultra-light materials and well-crafted form to offer the fastest, cleanest, and fully controlled mouse using. You are controlling the mouse with no hassle and no extra effort.', 'Take The Advanced Shot - 5 programmable buttons are all editable with customizable tactical keybinds in whatever game or work you are engaging. Default 2 side buttons will get you all covered, hit your hotkeys/keybinds faster than ever with M724.', 'Comfort & Natural Grip - Following the natural structure of the human hand, the M724 is perfectly shaped for long-lasting use. It makes you easily to handle am to pm gaming parties or overtime & overdue work with less fatigue.', 'Uncompromised Driver Support - All buttons with hotkeys, media, DPI settings are all customizable with Redragon dedicated software. Pre-aim your opponents and get overwhelming to the victory in your exactly wanted way.']",JOD,10.00,,+962796802525
3,https://citycenter.jo/asus-rog-hyperion-gr701-eatx-full-tower-case-semi-open-structure-tool-free-side-panels-up-to-2-x-420mm-built-in-graphics-card-holde-usb-type-c-white?search=%20&page=23,ASUS ROG Hyperion GR701 EATX Full-Tower case Semi-Open Structure Tool-Free Side Panels up to 2 x 420mm Built-in Graphics Card Holde USB Type-C - White,"['', 'Extra cooling: Semi-open structure for improved airflow, supports up to 2 x 420mm radiators for large AIOs or custom water cooling.', 'Extra style: Sturdy diecast aluminum-alloy frame, and top bars can used as carry handles, capable of supporting up to 80KG', 'Extra convenience: Hinged tool-free side panel, a built-in storage drawer and an integrated graphics card holder offer a premium building experience', 'Built-in graphics card holder that supports both vertical and horizontal installations', 'Two front panel Type-C ports with 60W fast charge support', 'ROG-themed front plate with embedded ARGB lighting', 'Internal hub with 6 PWM fan headers and 8 ARGB headers']",JOD,319.00,,+962796802525
4,https://citycenter.jo/razer-blackwidow-x-chroma-mechanical-keyboard?search=%20&page=420,Razer BlackWidow X Chroma Mechanical Keyboard,"Wired USB Connection
Razer Green Switches
Customizable RGB Backlight
Fully Programmable Keys
Anti-Ghosting, 10-Key Rollover
1000 Hz Ultrapolling
On-the-Fly Macro Recording
Compatible with Windows and Mac Systems",JOD,130.00,,+962796802525
5,https://citycenter.jo/lg-24mp88hv-24-full-hd-ips-flicker-safe-w-2-0-hdmi?search=%20&page=370,"LG 24MP88HV 24""  Full HD IPS Flicker Safe w/ 2.0 HDMI","1920 x 1080 IPS Monitor 5ms , Infinity Display (2.5mm bezel) , sRGB over 99% , On-Screen Control with Screen Split 2.0 , D-Sub, HDMI",JOD,175.00,,+962796802525
6,https://citycenter.jo/dell-latitude-new-5450-14-2024-intel-core-i7-13gen-10-core-ultimate-security-to-work-from-everywhere-w-full-hd-ir-camera-better-cooling-customized-grey?search=%20&page=51,Dell Latitude NEW 5450 14 (2024) Intel Core i7 13Gen 10-Core Ultimate Security To Work From Everywhere w/ FUll HD IR Camera & Better Cooling (Customized) - Grey,"Dell NEW Latitude 5450 14 (2024) 13Gen Intel Core i7-1355U up to 5.0GHz 12M Cash 10-Cores , 16GB RAM DDR5 (Customized) ,  512 GB M.2 PCIe NVMe SSD Class 35 , 14.0"" IPS Full HD 250nits Anti-glare 250 nits  , Intel Iris Xe Graphics Card ,  Full HD Camera , Wireless ,  Bluetooth , Backlit Arabic / English Keyboard , Dos",JOD,849.00,799.00,+962796802525
7,https://citycenter.jo/hoco-l19-wireless-microphones-receiver-type-c-with-lightning-adapter-for-iphone-and-android-graceful-dual-mic-lavalier-wireless-microphone-black?search=%20&page=291,"HOCO L19 Wireless Microphones, Receiver Type-C with Lightning Adapter for iPhone and Android, Graceful Dual Mic Lavalier Wireless Microphone - Black","['Plug and play, easy to use', '360-degree sound recording design, quick response, delicate sound recording', 'Can be clipped on clothes for use, such as collars, T-shirt cuffs, etc.', 'Widely used in various occasions, such as life video recording, karaoke recording, video live recording, online teaching video production, etc.']",JOD,19.00,,+962796802525
8,https://citycenter.jo/hohem-mic-01-wireless-lavalier-microphone-dsp-noise-cancellation-20-hours-battery-wireless-microphone-for-android-pc-camera-interview-vlogs-2-tx-1-rx-charging-case-white?search=%20&page=66,"Hohem MIC-01 Wireless Lavalier Microphone DSP Noise Cancellation 20-Hours Battery, Wireless Microphone For Android, PC, Camera, Interview, Vlogs (2 TX + 1 RX + Charging Case) - White","[""【DSP Noise Cancellation】Hohem MIC-01 equipped with the advanced audio processing algorithm, a high-performance DSP noise cancellation chip in each TX transmitter minimizes wind noise when you're talking -so your voice is always heard loud and clear."", '【Support Backup Recording】Equipped with a TF card slot, the TX transmitter can be used for local audio backup. Additionally, it also serves as a standalone recorder. Supports TF cards of 32GB or lower capacity (FAT format) and can record continuously for up to 94 hours.(*Note:TF storage card not included in the package.)', '【Remote Shutter Control】Hohem lavalier microphone supports innovative smartphone shutter control, enabling remote control for photography and video recording on your phone. Simple one-click you can take a picture, start/stop Recording. Get a new shooting experience!', '【328ft Long-Range Transmission】With a long-range transmission capability of 328 feet (100 meters), this microphone unlocks boundless outdoor possibilities and delivers exceptional audio capture performance.', '【360° Omnidirectional Pickup】Built-in omnidirectional microphone catches sound from every direction even when the TX transmitter is held upside down. Real-time Monitoring is also supported, allowing you to listen in sync while recording, ensuring your recordings meet your desired standards.', ""【20-Hour Battery Runtime】 Each transmitter's battery life is 7.5 hours, and up to 20 hours with the charging case. The wireless lavalier microphone is ready for extended shoots, long lectures, or marathon live sessions.""]",JOD,69.00,,+962796802525
9,https://citycenter.jo/anker-usb-c-hub-5-in-1-usbc-to-hdmi-splitter-with-4k-display-1-x-powered-usb-c-5gbps-2-powered-usb-a-3-0-5gbps-data-ports-for-macbook-pro-macbook-air-dell-and-more-black?search=%20&page=10,"Anker USB C Hub, 5-in-1 USBC to HDMI Splitter with 4K Display, 1 x Powered USB-C 5Gbps & 2×Powered USB-A 3.0 5Gbps Data Ports for MacBook Pro, MacBook Air, Dell and More - Black","['5-in-1 Connectivity: Equipped with a 4K HDMI port, a 5 Gbps USB-C data port, two 5 Gbps USB-A ports, and a USB C 100W PD-IN port. Note: The USB C 100W PD-IN port supports only charging and does not support data transfer devices such as headphones or speakers.', 'Powerful Pass-Through Charging: Supports up to 85W pass-through charging so you can power up your laptop while you use the hub. Note: Pass-through charging requires a charger (not included). Note: To achieve full power for iPad, we recommend using a 45W wall charger.', 'Transfer Files in Seconds: Move files to and from your laptop at speeds of up to 5 Gbps via the USB-C and USB-A data ports. Note: The USB C 5Gbps Data port does not support video output.', 'HD Display: Connect to the HDMI port to stream or mirror content to an external monitor in resolutions of up to 4K@30Hz. Note: The USB-C ports do not support video output.']",JOD,29.00,,+962796802525
